ConstantKey,ConstantKeyZh,Value,Comment,CommentZh
AttackSlotDefaultTargetBodyRadius,默认目标体半径,0.35,Fallback target BodyRadius,缺体外观/怪物半径时的默认目标体半径
HitConfirmSlack,命中确认松弛距离,0.05,HitConfirm range slack,前摇结束命中确认时在攻击距离上额外允许的松弛
SurroundGapDegrees,包围缺口角度,60,Surround gap sector degrees,近战多打一时攻击位环上预留的缺口扇区角度
StuckDetectWindowSeconds,卡死检测窗口,0.5,StuckHold detect window seconds,有移动意图但位移不足时的检测窗口秒数
StuckDisplacementEpsilon,卡死位移阈值,0.2,StuckHold displacement epsilon,检测窗口内XZ位移小于本值则判定卡住
StuckHoldSeconds,卡死停顿时长,1,StuckHold force-Idle seconds,判定卡住后强制Idle的秒数
ProjectileDefaultHitRadius,投射物默认命中半径,0.55,Default projectile soft-hit radius,远程投射物默认软命中半径（表缺列时兜底）
DefendVictoryStageExp,防守胜利阶段经验,100,Defend victory Demo stage Exp,Defend清场胜利结算时入账的阶段经验
FlowFieldDefaultCellSize,流场默认格宽,0.5,FlowField default cell size,共享目标流场默认格子边长
FlowFieldMinCellSize,流场最小格宽,0.25,FlowField min cell size,流场格宽下限（性能降级时可抬高）
FlowFieldMaxCellSize,流场最大格宽,0.5,FlowField max cell size,流场格宽上限
MassMoveMaxRecalcPerFrame,群体移动每帧重算上限,50,MassMove/AttackSlot refresh budget per frame,每帧最多重算路径/攻击位的单位数
MassMoveDefaultAgentRadius,群体移动默认体半径,0.1,Default mass-move agent radius,群体移动登记时的默认体半径
MassMoveArriveEpsilon,群体移动到达阈值,0.08,Arrive epsilon for DesiredDestination,到达期望点判定的距离阈值
MassMoveDefaultObjectiveArriveRadius,目标到达默认半径,2,Default Objective arrive radius,目标点到达半径默认值（可被CaptureZone覆盖）
MassMoveAttackSlotSeparationScale,攻击位软分离系数,0.35,LocalDetour separation scale in AttackSlot,处于攻击位气泡时LocalDetour软分离缩放
SoftCollisionMaxCorrectionSpeed,软碰撞最大修正速度,2,Soft collision max correction speed,软碰撞位置修正速度上限（单位/秒）
LocalDetourProbeLength,本地绕行探测长度,1,LocalDetour L/R probe length,左右绕行探测射线长度
LocalDetourSoftSeparationStrength,本地绕行软分离强度,0.15,LocalDetour soft separation strength,友军软分离推力强度
LocalDetourDetourBias,本地绕行偏置,0.85,LocalDetour L/R bias blend,绕行方向与原期望方向的混合偏置
LocalDetourForwardConeHalfAngleDeg,本地绕行前向锥半角,50,Forward block cone half-angle degrees,判定前方友军阻挡的圆锥半角（度）
BossAdvanceArriveRadius,Boss推进到达半径,0.35,BossPoint advance arrive radius,目标链耗尽后推进Boss点的到达半径
EngageStickHysteresisMargin,接战粘滞余量,0.15,Engage sticky retarget hysteresis,接战粘滞：新目标需更近超过本余量才换目标
PushMapSpawnMinSampleDistance,刷怪散布最小采样距,0.75,PushMap spawn min sample distance,刷怪散布环形采样的最小间距
PushMapSpawnSampleDistanceBodyMul,刷怪散布体半径倍数,2.5,Spawn sample distance = max(min,r*mul)
PushMapSpawnLeashSlack,刷怪拴绳松弛,0.35,NavMesh sample leash slack,刷怪SamplePosition相对基点的拴绳松弛
PushMapSpawnAbsoluteLeashFloor,刷怪绝对拴绳下限,3,Absolute leash floor,刷怪绝对拴绳距离下限
PushMapSpawnAbsoluteLeashBodyMul,刷怪绝对拴绳体倍数,10,Absolute leash = max(floor,r*mul)
